square_neighborhood,avg_price_house,n,predicted_rent,price_rent_ratio
701-801_Oakridge,795000,5,1988.7432462754,33.3124952776462
801-901_Hastings-Sunrise,694560,5,1753.10889948771,33.0156329803091
701-801_Hastings-Sunrise,624192,14,1578.89280117076,32.9446052077948
701-801_Steveston,550280,5,1414.16552615526,32.4266613904375
1001-101_Queensborough,629266.666666667,3,1623.60801114775,32.2977519997693
1001-101_Richmond Central,740350,16,1923.53247582723,32.0742353501468
801-901_Bryne Creek Ravine Park,682714.285714286,7,1778.60201952497,31.9874016324643
801-901_Steveston,592650,6,1563.21225394936,31.5935982942978
901-1001_Killarney,819300,10,2168.25471498764,31.4884591409221
1101-1351_Bryne Creek Ravine Park,848749.75,4,2252.44274309217,31.4010849111467
701-801_Brentwood,726926.857142857,7,1943.12238424001,31.1752047048394
701-801_Riley Park,805175,4,2156.47859441348,31.1145757905917
901-1001_Richmond Central,666029.888888889,36,1784.45585917398,31.1033139068133
801-901_University Hill (UBC),888972.727272727,11,2387.44990861087,31.0293675016471
701-801_Metrotown,776596,25,2092.97428404779,30.9207493979203
801-901_Port Coquitlam,542596,3,1467.69856660348,30.80764290584
1101-1351_Brentwood,914842.857142857,7,2488.54334350364,30.635152472197
1351-1601_Maple Ridge,671670,10,1855.39560069085,30.1674208881162
601-701_Kerrisdale,788560,5,2179.80216210221,30.1464667187774
1001-101_Hollyburn,894966.666666667,3,2481.07304740499,30.0597983737564
801-901_Brentwood,726486.764705882,17,2034.66009139845,29.7546327179789
801-901_Riley Park,822783.333333333,6,2306.15179762352,29.7314677413837
801-901_Metrotown,792977.272727273,22,2226.12478227016,29.6845172023783
801-901_Grandview-Woodland,743996,5,2097.22832187465,29.5626689855337
1001-101_University Hill (UBC),928750,4,2627.10543961577,29.4604975370356
501-601_Metrotown,631295.652173913,23,1787.3854961412,29.432918152278
601-701_New Westminster Downtown,542500,4,1542.75379305015,29.3036604654544
1001-101_Middlegate,760800,5,2167.06267822159,29.2561911739579
801-901_Oakridge,743337.6,5,2126.28338321257,29.1328994474896
1001-101_Brentwood,793862.5,8,2271.59017331363,29.1228625262236
801-901_Harbour Chines,532225,4,1523.80860210673,29.1060722928159
1101-1351_Richmond Central,733273.222222222,27,2106.88740030402,29.003022108839
601-701_Grandview-Woodland,635966.666666667,3,1834.82784058239,28.8840299073512
801-901_Richmond North,717376.190476191,63,2079.01627605894,28.7546326090688
401-501_Killarney,541925,4,1575.01810307374,28.672950855951
601-701_Metrotown,660360,10,1919.51862421075,28.6686460375588
1101-1351_Univercity,860966.666666667,3,2507.83516281909,28.6092257122555
801-901_Killarney,707200,10,2064.38076139484,28.5477051692313
901-1001_Kerrisdale,908816.666666667,6,2662.8058060241,28.4416993724764
901-1001_Port Coquitlam,553883.333333333,6,1627.38494290314,28.362646862213
501-601_Grandview-Woodland,584700,4,1720.21105980141,28.3250126328249
901-1001_Kelvin,643475,4,1898.46014063753,28.2454793328762
501-601_Killarney,555781.818181818,11,1649.19044489685,28.0835677034549
701-801_New Westminster Downtown,576804.3,20,1715.22929978017,28.0236729900548
501-601_Renfrew-Collingwood,544975,4,1626.83740315947,27.9158711529093
1101-1351_Maple Ridge,546200,5,1631.24139644625,27.903084586884
801-901_Kensington-Cedar Cottage,725314.461538462,13,2167.49678772986,27.8860260079909
901-1001_Richmond North,734586.090909091,44,2199.60139610725,27.8302731049789
701-801_Killarney,647650,10,1940.65355938999,27.8106481562314
1001-101_Richmond North,776711.111111111,27,2329.3286908731,27.7873733232834
501-601_Richmond North,564941.666666667,36,1695.74251659952,27.7627480359629
901-1001_New Westminster Downtown,643440,10,1941.93189176542,27.6116789818276
801-901_Kelvin,582180,5,1760.08134432879,27.564066942884
801-901_New Westminster Downtown,601607.333333333,12,1819.43020758478,27.5547499626244
801-901_Fairview,718200,4,2172.07861799803,27.5542512614772
901-1001_Queens Park,666333.333333333,3,2024.15600862929,27.4325583310052
901-1001_Cascade Heights,594450,4,1813.85258154302,27.3106538558162
801-901_Middlegate,631004.545454545,22,1927.3367981149,27.2830945648127
1101-1351_Marpole,730333.333333333,3,2234.45835467271,27.2375231267291
601-701_Riley Park,659935.2,5,2025.73513130454,27.1479716919281
601-701_Richmond North,583134.95,20,1793.69509468641,27.0918838495025
1001-101_Queens Park,696500,4,2144.3638518874,27.0670794117241
