square_neighborhood,avg_price_rent,n,predicted_house,price_rent_ratio
901-1001_Strathcona,2648.33333333333,3,810594.936772937,25.5064486083366
1101-1351_Buckingham Heights,2763.33333333333,3,845404.471211798,25.4947066107297
3101-3601_Kerrisdale,4983.33333333333,3,1521624.09752603,25.4452190221744
1101-1351_Sunset,2416.66666666667,3,737826.087225984,25.4422788698615
1101-1351_Kensington-Cedar Cottage,2650,4,808707.092722071,25.4310406516375
2101-2351_Maple Ridge,2938.88888888889,9,896308.741495615,25.4151817059248
801-901_Metrotown,2406.36734693878,49,732718.64286838,25.3742999726849
601-701_Port Coquitlam,1347.77777777778,9,409782.732565516,25.3369372979503
1001-101_Univercity,2187.5,4,665075.493777678,25.3362092867687
501-601_New Westminster Downtown,1573.33333333333,3,477338.815355942,25.2827762370732
1601-1851_Marpole,3458.33333333333,3,1047484.85785546,25.2405989844688
601-701_Maple Ridge,1265.27777777778,18,382682.541307714,25.204119076249
701-801_New Westminster Downtown,1790,3,541182.665349183,25.194723712718
1101-1351_Port Coquitlam,2157.5,10,651743.815038312,25.1735733888881
1351-1601_Kelvin,2553,4,766175.617969016,25.0089965390069
801-901_Sullivan Heights,1790,3,535746.400339391,24.9416387495061
801-901_Kitsilano,2639.84375,32,782622.828235002,24.7054656244649
501-601_Queens Park,1607.5,8,475763.443465225,24.6637347571397
1001-101_University Hill (UBC),3033.33333333333,6,889510.035270653,24.4370888810619
901-1001_Brentwood,2534,5,736952.676411866,24.235486596023
1351-1601_Richmond North,2971,7,863748.504421441,24.2272103787008
801-901_Lougheed,1979,15,575111.152483876,24.2172457673857
501-601_Coal Harbour,2345.45454545455,11,681396.107223472,24.2098100111699
801-901_Yaletown,3158.47826086957,23,912098.839692371,24.0648281745985
701-801_Lougheed,1691.66666666667,6,487272.907121658,24.0035914838255
701-801_Renfrew-Collingwood,2160,5,621322.014267495,23.970756723283
701-801_Yaletown,2963.88888888889,28,852292.886374263,23.9632489139905
1351-1601_Maple Ridge,2374.66666666667,15,682671.944572324,23.9567639167716
601-701_Riley Park,2615,4,751388.919256866,23.9448349030231
901-1001_Mount Pleasant,2879,5,822201.951385603,23.798829205326
701-801_Coal Harbour,2595.625,8,740997.009489403,23.7899352914167
701-801_Mount Pleasant,2673.33333333333,6,761575.739447842,23.7398921274265
501-601_Port Coquitlam,1350,7,383638.221862417,23.6813717199023
801-901_Downtown,2980.22727272727,23,842718.060106875,23.5641441347661
1001-101_Port Coquitlam,1937.5,8,547323.967763913,23.5408158178027
601-701_Burquitlam,1556.125,8,437970.62989841,23.454126430418
3601-4101_Richmond Central,5533.33333333333,3,1551986.62365451,23.3732925249173
3601-4101_Kerrisdale,6100,6,1697787.44953701,23.1938176166258
