"","price","building_number","street_number","street_name","city","province","squares","type","year","age","bed","bath","tax","longitude","latitude"
"76","$960,000","1604","4398","Buchanan Street","Burnaby","BC","1,307 sq.ft.","Residential, Condo",2000,18,2,"2","$2,899",-123.0071699,49.2672232
"77","$960,000","2701","2077","Rosser Avenue","Burnaby","BC","1,104 sq.ft.","Residential, Condo",2013,5,2,"2","$2,875",-123.0062008,49.2657573
"78","$960,000","211","1001","W 43rd Avenue","Vancouver West","BC","1,258 sq.ft.","Residential, Condo",1994,24,3,"2","$2,379",-123.1285925,49.2322748
"79","$960,000","404","2140","Briar Avenue","Vancouver West","BC","1,364 sq.ft.","Residential, Condo",1980,38,2,"2","$2,273",-123.1540238,49.2495225
"80","$959,000","2303","1550","Fern Street","North Vancouver","BC","974 sq.ft.","Residential, Condo",2015,3,1,"2","$3,613",-123.0308212,49.3117169
"81","$959,000","406","2601","Whiteley Court","North Vancouver","BC","1,104 sq.ft.","Residential, Condo",2009,9,3,"2","$3,591",-123.0419483,49.3325651
"82","$959,000","1107","125","E 14th Street","North Vancouver","BC","873 sq.ft.","Residential, Condo",2017,1,2,"2","$2,808",-123.0744267,49.3209957
"83","$959,000","201","825","W 15th Avenue","Vancouver West","BC","1,137 sq.ft.","Residential, Condo",1990,28,2,"2","$1,944",-123.1229059,49.2579919
"84","$958,900","2005","6638","Dunblane Avenue","Burnaby","BC","877 sq.ft.","Residential, Condo",2018,NA,2,"2","$1,423",-122.9928624,49.2232244
"85","$958,800","318","3581","Ross Drive","Vancouver West","BC","807 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,-123.2340949,49.250913
"86","$958,000","1505","5611","Goring Street","Burnaby","BC","1,363 sq.ft.","Residential, Condo",2008,10,2,"2","$2,938",-122.9825795,49.263569
"87","$958,000","405","2738","Library Lane","North Vancouver","BC","950 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,-123.0724139,49.3199816
"88","$958,000","4001","4900","Lennox Lane","Burnaby","BC","915 sq.ft.","Residential, Condo",2017,1,2,"2","$2,119",-122.9939124,49.2234333
"89","$957,000","1807","918","Cooperage Way","Vancouver West","BC","885 sq.ft.","Residential, Condo",2009,9,1,"1","$2,362",-123.1128257,49.2741295
"90","$956,000","1103","555","Jervis Street","Vancouver West","BC","589 sq.ft.","Residential, Condo",1996,22,1,"1","$1,503",-123.1258117,49.2893935
"91","$955,900","1206","210","Salter Street","New Westminster","BC","1,206 sq.ft.","Residential, Condo",2017,1,2,"2","$3,506",-122.9218225,49.1953003
"92","$955,000","857","38","Smithe Street","Vancouver West","BC","745 sq.ft.","Residential, Condo",2016,2,2,"2","$2,258",-123.1137486,49.2751885
"93","$953,000","2602","668","Citadel Parade","Vancouver West","BC","956 sq.ft.","Residential, Condo",2007,11,2,"2","$2,493",-123.1107545,49.2785846
"94","$950,000","505","1480","Howe Street","Vancouver West","BC","403 sq.ft.","Residential, Condo",2019,NA,1,"1",NA,-123.1310268,49.2749131
"95","$950,000","1009","6461","Telford Avenue","Burnaby","BC","946 sq.ft.","Residential, Condo",2014,4,2,"2","$2,761",-123.0040735,49.2251902
"96","$950,000","3705","928","Beatty Street","Vancouver West","BC","714 sq.ft.","Residential, Condo",2005,13,2,"1","$1,947",-123.1157455,49.2761941
"97","$950,000","601","8628","Hazelbridge Way","Richmond","BC","966 sq.ft.","Residential, Condo",2018,NA,2,"2","$1,286",-123.1293686,49.1888967
"98","$950,000","113","2255","York Avenue","Vancouver West","BC","1,074 sq.ft.","Residential, Condo",1975,43,2,"2+1","$1,896",-123.1560473,49.2719893
"99","$950,000","316","1230","Haro Street","Vancouver West","BC","1,189 sq.ft.","Residential, Condo",1987,31,2,"2","$2,165",-123.1281447,49.2853112
"100","$950,000","1903","867","Hamilton Street","Vancouver West","BC","1,044 sq.ft.","Residential, Condo",1995,23,2,"2","$2,046",-123.1170413,49.2783131
"101","$950,000","1709","6538","Nelson Avenue","Burnaby","BC","753 sq.ft.","Residential, Condo",2017,1,2,"2","$2,872",-122.9934732,49.2243416
"102","$950,000","302","2138","Madison Avenue","Burnaby","BC","1,200 sq.ft.","Residential, Condo",2006,12,2,"2","$2,767",-123.0076312,49.2652937
"103","$950,000","810","4670","Assembly Way","Burnaby","BC","885 sq.ft.","Residential, Condo",2018,NA,2,"2","$1,699",NA,NA
"104","$949,900","1803","6595","Willingdon Avenue","Burnaby","BC","1,900 sq.ft.","Residential, Condo",1984,34,2,"3+1","$3,025",-123.0115065,49.2232872
"105","$949,900","910","610","Granville Street","Vancouver West","BC","863 sq.ft.","Residential, Condo",2006,12,2,"2","$1,909",-123.116417,49.2832675
"106","$949,900","407","4289","Hastings Street","Burnaby","BC","1,034 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,-123.0089578,49.2811966
"107","$949,900","417","220","Salter Street","New Westminster","BC","1,237 sq.ft.","Residential, Condo",2013,5,2,"2","$3,136",-122.9223072,49.1941224
"108","$949,900","1602","114","W Keith Road","North Vancouver","BC","956 sq.ft.","Residential, Condo",1977,41,2,"2+1","$2,543",-123.0735504,49.3178303
"109","$949,888","502","1050","Smithe Street","Vancouver West","BC","950 sq.ft.","Residential, Condo",2005,13,2,"2","$2,118",-123.1256672,49.2832187
"110","$949,800","3304","939","Homer Street","Vancouver West","BC","902 sq.ft.","Residential, Condo",1997,21,2,"2","$1,819",-123.1194851,49.2781145
"111","$949,000","908","150","24th Street","West Vancouver","BC","698 sq.ft.","Residential, Condo",1963,55,1,"1","$2,055",-123.1790607,49.332545
"112","$949,000","2606","660","Nootka Way","Port Moody","BC","1,150 sq.ft.","Residential, Condo",2009,9,2,"2","$2,986",-122.8327752,49.2789875
"113","$949,000","506","5700","Larch Street","Vancouver West","BC","953 sq.ft.","Residential, Condo",1998,20,2,"2","$2,423",-123.162552,49.2344007
"114","$949,000","606","680","Seylynn Crescent","North Vancouver","BC","1,058 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,NA,NA
"115","$949,000","801","1055","Richards Street","Vancouver West","BC","729 sq.ft.","Residential, Condo",2009,9,1,"1","$1,778",-123.1224016,49.2774739
"116","$949,000","903","1327","E Keith Road","North Vancouver","BC","1,145 sq.ft.","Residential, Condo",1992,26,2,"2","$3,041",-123.0366736,49.3125903
"117","$949,000","2302","4250","Dawson Street","Burnaby","BC","1,160 sq.ft.","Residential, Condo",2008,10,3,"2","$2,998",-123.0104646,49.2641593
"118","$949,000","610","610","Granville Street","Vancouver West","BC","887 sq.ft.","Residential, Condo",9999,999,1,"2+1","$2,017",-123.116417,49.2832675
"119","$949,000","518","2665","Mountain Highway","North Vancouver","BC","1,103 sq.ft.","Residential, Condo",2015,3,3,"2","$3,846",-123.0382868,49.3325761
"120","$949,000","1002","939","Expo Boulevard","Vancouver West","BC","881 sq.ft.","Residential, Condo",2005,13,2,"2","$1,773",-123.1155367,49.2755494
"121","$948,900","106","1591","Bowser Avenue","North Vancouver","BC","1,274 sq.ft.","Residential, Condo",2019,NA,2,"2",NA,-123.1164586,49.323505
"122","$948,800","18","7051","Ash Street","Richmond","BC","1,530 sq.ft.","Residential, Condo",2012,6,3,"3+1","$2,510",-123.1210109,49.162635
"123","$948,800","110","1010","Chilco Street","Vancouver West","BC","1,055 sq.ft.","Residential, Condo",1986,32,2,"2","$1,755",-123.1415619,49.2909773
"124","$948,000","1703","6833","Station Hill Drive","Burnaby","BC","1,175 sq.ft.","Residential, Condo",2004,14,3,"2","$2,744",-122.961045,49.2109804
"125","$948,000","2303","193","Aquarius Mews","Vancouver West","BC","702 sq.ft.","Residential, Condo",2000,18,1,"1","$2,276",-123.1188092,49.2741473
"126","$948,000","2302","6823","Station Hill Drive","Burnaby","BC","1,303 sq.ft.","Residential, Condo",2007,11,3,"2","$3,050",-122.9624053,49.2111177
"127","$948,000","604","168","Chadwick Court","North Vancouver","BC","1,044 sq.ft.","Residential, Condo",1990,28,2,"2","$2,837",-123.0831696,49.3111366
"128","$948,000","3002","2355","Madison Avenue","Burnaby","BC","1,165 sq.ft.","Residential, Condo",2007,11,3,"2","$3,020",-123.0093766,49.2628125
"129","$948,000","101","638","Beach Crescent","Vancouver West","BC","780 sq.ft.","Residential, Condo",2006,12,1,"1","$2,481",-123.1301799,49.2733204
"130","$948,000","305","2055","Pendrell Street","Vancouver West","BC","1,087 sq.ft.","Residential, Condo",1965,53,2,"2","$1,702",-123.1442437,49.2906894
"131","$948,000","405","5199","Brighouse Way","Richmond","BC","1,290 sq.ft.","Residential, Condo",2013,5,2,"2","$2,627",-123.1559309,49.1731639
"132","$948,000","104","1675","Augusta Avenue","Burnaby","BC","1,565 sq.ft.","Residential, Condo",1989,29,2,"2","$2,526",-122.9508969,49.2683039
"133","$948,000","2304","8131","Nunavut Lane","Vancouver West","BC","760 sq.ft.","Residential, Condo",2016,2,2,"2","$2,194",-123.1164029,49.2109715
