"price","address","squares","type","year","age","bed","bath","tax","fee"
"$960,000","211 1001 W 43rd Avenue, Vancouver West, BC","1,258 sq.ft.","Residential, Condo","1994","24","3","2","$2,379",NA
"$960,000","404 2140 Briar Avenue, Vancouver West, BC","1,364 sq.ft.","Residential, Condo","1980","38","2","2","$2,273",NA
"$959,000","2303 1550 Fern Street, North Vancouver, BC","974 sq.ft.","Residential, Condo","2015","3","1","2","$3,613",NA
"$959,000","406 2601 Whiteley Court, North Vancouver, BC","1,104 sq.ft.","Residential, Condo","2009","9","3","2","$3,591",NA
"$959,000","1107 125 E 14th Street, North Vancouver, BC","873 sq.ft.","Residential, Condo","2017","1","2","2","$2,808",NA
"$959,000","201 825 W 15th Avenue, Vancouver West, BC","1,137 sq.ft.","Residential, Condo","1990","28","2","2","$1,944",NA
"$958,900","2005 6638 Dunblane Avenue, Burnaby, BC","877 sq.ft.","Residential, Condo","2018",NA,"2","2","$1,423",NA
"$958,800","318 3581 Ross Drive, Vancouver West, BC","807 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$958,000","1505 5611 Goring Street, Burnaby, BC","1,363 sq.ft.","Residential, Condo","2008","10","2","2","$2,938",NA
"$958,000","405 2738 Library Lane, North Vancouver, BC","950 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$958,000","4001 4900 Lennox Lane, Burnaby, BC","915 sq.ft.","Residential, Condo","2017","1","2","2","$2,119",NA
"$957,000","1807 918 Cooperage Way, Vancouver West, BC","885 sq.ft.","Residential, Condo","2009","9","1","1","$2,362",NA
"$956,000","1103 555 Jervis Street, Vancouver West, BC","589 sq.ft.","Residential, Condo","1996","22","1","1","$1,503",NA
"$955,900","1206 210 Salter Street, New Westminster, BC","1,206 sq.ft.","Residential, Condo","2017","1","2","2","$3,506",NA
"$955,000","857 38 Smithe Street, Vancouver West, BC","745 sq.ft.","Residential, Condo","2016","2","2","2","$2,258",NA
"$953,000","2602 668 Citadel Parade, Vancouver West, BC","956 sq.ft.","Residential, Condo","2007","11","2","2","$2,493",NA
"$950,000","505 1480 Howe Street, Vancouver West, BC","403 sq.ft.","Residential, Condo","2019",NA,"1","1",NA,NA
"$950,000","1009 6461 Telford Avenue, Burnaby, BC","946 sq.ft.","Residential, Condo","2014","4","2","2","$2,761",NA
"$950,000","3705 928 Beatty Street, Vancouver West, BC","714 sq.ft.","Residential, Condo","2005","13","2","1","$1,947",NA
"$950,000","601 8628 Hazelbridge Way, Richmond, BC","966 sq.ft.","Residential, Condo","2018",NA,"2","2","$1,286",NA
"$950,000","113 2255 York Avenue, Vancouver West, BC","1,074 sq.ft.","Residential, Condo","1975","43","2","2+1","$1,896",NA
"$950,000","316 1230 Haro Street, Vancouver West, BC","1,189 sq.ft.","Residential, Condo","1987","31","2","2","$2,165",NA
"$950,000","1903 867 Hamilton Street, Vancouver West, BC","1,044 sq.ft.","Residential, Condo","1995","23","2","2","$2,046",NA
"$950,000","1709 6538 Nelson Avenue, Burnaby, BC","753 sq.ft.","Residential, Condo","2017","1","2","2","$2,872",NA
"$950,000","302 2138 Madison Avenue, Burnaby, BC","1,200 sq.ft.","Residential, Condo","2006","12","2","2","$2,767",NA
"$950,000","810 4670 Assembly Way, Burnaby, BC","885 sq.ft.","Residential, Condo","2018",NA,"2","2","$1,699",NA
"$949,900","1803 6595 Willingdon Avenue, Burnaby, BC","1,900 sq.ft.","Residential, Condo","1984","34","2","3+1","$3,025",NA
"$949,900","910 610 Granville Street, Vancouver West, BC","863 sq.ft.","Residential, Condo","2006","12","2","2","$1,909",NA
